福尔摩斯二世,https:\/\/movie.douban.com\/subject\/1303408\/,1924-04-21,9.5
黑客帝国动画版,https:\/\/movie.douban.com\/subject\/1292347\/,2003-06-03,8.8
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
谍影重重3,https:\/\/movie.douban.com\/subject\/1578507\/,2007-11-15,8.8
纵横四海,https:\/\/movie.douban.com\/subject\/1295409\/,1991-02-02,8.8
终结者2：审判日,https:\/\/movie.douban.com\/subject\/1291844\/,1991-07-03,8.8
枪火,https:\/\/movie.douban.com\/subject\/1300741\/,1999-11-19,8.8
东邪西毒：终极版,https:\/\/movie.douban.com\/subject\/3726072\/,2009-03-26,8.8
黑客帝国动画版,https:\/\/movie.douban.com\/subject\/1292347\/,2003-06-03,8.8
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
纵横四海,https:\/\/movie.douban.com\/subject\/1295409\/,1991-02-02,8.8
终结者2：审判日,https:\/\/movie.douban.com\/subject\/1291844\/,1991-07-03,8.8
枪火,https:\/\/movie.douban.com\/subject\/1300741\/,1999-11-19,8.8
东邪西毒：终极版,https:\/\/movie.douban.com\/subject\/3726072\/,2009-03-26,8.8
黑客帝国动画版,https:\/\/movie.douban.com\/subject\/1292347\/,2003-06-03,8.8
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
终结者2：审判日,https:\/\/movie.douban.com\/subject\/1291844\/,1991-07-03,8.8
枪火,https:\/\/movie.douban.com\/subject\/1300741\/,1999-11-19,8.8
东邪西毒：终极版,https:\/\/movie.douban.com\/subject\/3726072\/,2009-03-26,8.8
黑客帝国动画版,https:\/\/movie.douban.com\/subject\/1292347\/,2003-06-03,8.8
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
枪火,https:\/\/movie.douban.com\/subject\/1300741\/,1999-11-19,8.8
东邪西毒：终极版,https:\/\/movie.douban.com\/subject\/3726072\/,2009-03-26,8.8
黑客帝国动画版,https:\/\/movie.douban.com\/subject\/1292347\/,2003-06-03,8.8
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
东邪西毒：终极版,https:\/\/movie.douban.com\/subject\/3726072\/,2009-03-26,8.8
黑客帝国动画版,https:\/\/movie.douban.com\/subject\/1292347\/,2003-06-03,8.8
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
黑客帝国动画版,https:\/\/movie.douban.com\/subject\/1292347\/,2003-06-03,8.8
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
椿三十郎,https:\/\/movie.douban.com\/subject\/1293310\/,1962-01-01,8.8
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
疯狂的麦克斯4：狂暴之路,https:\/\/movie.douban.com\/subject\/3592854\/,2015-05-14,8.6
桥,https:\/\/movie.douban.com\/subject\/1305697\/,1969-07-14,8.8
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
疯狂的麦克斯4：狂暴之路,https:\/\/movie.douban.com\/subject\/3592854\/,2015-05-14,8.6
英雄本色,https:\/\/movie.douban.com\/subject\/1297574\/,2017-11-17,8.6
西线无战事,https:\/\/movie.douban.com\/subject\/1295116\/,1930-08-24,8.8
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
疯狂的麦克斯4：狂暴之路,https:\/\/movie.douban.com\/subject\/3592854\/,2015-05-14,8.6
英雄本色,https:\/\/movie.douban.com\/subject\/1297574\/,2017-11-17,8.6
新龙门客栈,https:\/\/movie.douban.com\/subject\/1292287\/,2012-02-24,8.6
头号玩家,https:\/\/movie.douban.com\/subject\/4920389\/,2018-03-30,8.7
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
疯狂的麦克斯4：狂暴之路,https:\/\/movie.douban.com\/subject\/3592854\/,2015-05-14,8.6
英雄本色,https:\/\/movie.douban.com\/subject\/1297574\/,2017-11-17,8.6
新龙门客栈,https:\/\/movie.douban.com\/subject\/1292287\/,2012-02-24,8.6
谍影重重,https:\/\/movie.douban.com\/subject\/1304102\/,2002-11-21,8.6
功夫,https:\/\/movie.douban.com\/subject\/1291543\/,2004-12-23,8.7
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
疯狂的麦克斯4：狂暴之路,https:\/\/movie.douban.com\/subject\/3592854\/,2015-05-14,8.6
英雄本色,https:\/\/movie.douban.com\/subject\/1297574\/,2017-11-17,8.6
新龙门客栈,https:\/\/movie.douban.com\/subject\/1292287\/,2012-02-24,8.6
谍影重重,https:\/\/movie.douban.com\/subject\/1304102\/,2002-11-21,8.6
黑客帝国2：重装上阵,https:\/\/movie.douban.com\/subject\/1304141\/,2003-07-18,8.6
超能陆战队,https:\/\/movie.douban.com\/subject\/11026735\/,2015-02-28,8.7
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
疯狂的麦克斯4：狂暴之路,https:\/\/movie.douban.com\/subject\/3592854\/,2015-05-14,8.6
英雄本色,https:\/\/movie.douban.com\/subject\/1297574\/,2017-11-17,8.6
新龙门客栈,https:\/\/movie.douban.com\/subject\/1292287\/,2012-02-24,8.6
谍影重重,https:\/\/movie.douban.com\/subject\/1304102\/,2002-11-21,8.6
黑客帝国2：重装上阵,https:\/\/movie.douban.com\/subject\/1304141\/,2003-07-18,8.6
勇闯夺命岛,https:\/\/movie.douban.com\/subject\/1292728\/,1996-06-07,8.6
谍影重重2,https:\/\/movie.douban.com\/subject\/1308767\/,2004-11-14,8.7
黑鹰坠落,https:\/\/movie.douban.com\/subject\/1291824\/,2001-12-18,8.7
精英部队2：大敌当前,https:\/\/movie.douban.com\/subject\/4304402\/,2011-11-25,8.7
宾虚,https:\/\/movie.douban.com\/subject\/1293150\/,1959-11-18,8.7
正义联盟：闪点悖论,https:\/\/movie.douban.com\/subject\/24718965\/,2013-07-30,8.7
兽兵卫忍风帖,https:\/\/movie.douban.com\/subject\/1421884\/,1993-06-05,8.7
大菩萨岭,https:\/\/movie.douban.com\/subject\/1440164\/,1966-02-25,8.7
铁达尼号沉没记,https:\/\/movie.douban.com\/subject\/1296542\/,1996-11-17,8.7
奈克瑟斯奥特曼剧场版,https:\/\/movie.douban.com\/subject\/1859322\/,2004-12-18,8.7
岁城璃心,https:\/\/movie.douban.com\/subject\/26298852\/,2014-12-08,8.7
釜山行,https:\/\/movie.douban.com\/subject\/25986180\/,2016-05-13,8.6
蜘蛛侠：平行宇宙,https:\/\/movie.douban.com\/subject\/26374197\/,2018-12-21,8.6
东邪西毒,https:\/\/movie.douban.com\/subject\/1292328\/,1994-09-17,8.6
疯狂的麦克斯4：狂暴之路,https:\/\/movie.douban.com\/subject\/3592854\/,2015-05-14,8.6
英雄本色,https:\/\/movie.douban.com\/subject\/1297574\/,2017-11-17,8.6
新龙门客栈,https:\/\/movie.douban.com\/subject\/1292287\/,2012-02-24,8.6
谍影重重,https:\/\/movie.douban.com\/subject\/1304102\/,2002-11-21,8.6
黑客帝国2：重装上阵,https:\/\/movie.douban.com\/subject\/1304141\/,2003-07-18,8.6
勇闯夺命岛,https:\/\/movie.douban.com\/subject\/1292728\/,1996-06-07,8.6
启示,https:\/\/movie.douban.com\/subject\/1450031\/,2006-12-08,8.6
